"motiveNAME","payloadNAME"
"Financial Extortion","Troldesh"
"Financial Extortion","CryptoWall 3.0"
"Financial Extortion","TeslaCrypt 2.0"
"Bank Account Takeover","Vawtrak"
"Click-Fraud","Bedep"
"Financial Extortion","Alpha Crypt"
"Point of Sale Compromise","Andromeda"
"Click-Fraud","Boaxxe"
"Bank Account Takeover","Dridex"
"Bank Account Takeover","Dyre"
"Financial Extortion","Filecoder.ED"
"Click-Fraud","Kovter"
"Bank Account Takeover","Kronos"
"Click-Fraud","Miuref"
"System Takeover","Necurs"
"Click-Fraud","Redyms"
"System Takeover","Simda"
"Bank Account Takeover","ZBot"
