"softwareDeveloperNAME","softwareNAME"
"Microsoft",".Net Framework"
"Adobe","Acrobat Reader"
"Adobe","Adobe Air"
"Google","Chrome"
"Microsoft","Excel"
"Mozilla","Firefox"
"Adobe","Flash Player"
"Microsoft","Internet Explorer"
"Invisionpower","Invision Power Board"
"Oracle","Java"
"Microsoft","Live Meeting"
"Microsoft","Lync"
"Microsoft","Outlook"
"Microsoft","Pinyin"
"Microsoft","Powerpoint"
"Microsoft","Silverlight"
"Ubercart","Ubercart"
"Microsoft","Windows 7"
"Microsoft","Windows 8"
"Microsoft","Windows 8.1"
"Microsoft","Windows Server 2003"
"MIcrosoft","Windows Server 2008"
"Microsoft","Windows Vista"
"Microsoft","Windows XP"
"Microsoft","Word"
"Microsoft","Xml Core Services"
